frame,shoulder_tilt,forward_lean,neck_angle
0,179.076,117.483,91.085
1,179.078,110.827,91.495
2,178.946,111.359,91.904
3,178.683,110.466,92.227
4,178.548,110.967,92.517
5,178.548,110.874,92.816
6,178.548,110.799,93.112
7,178.416,111.183,93.269
8,178.42,110.459,93.403
9,178.292,109.971,93.407
10,178.034,109.402,93.548
11,177.908,108.746,93.545
12,177.908,108.978,93.545
13,178.043,110.682,93.531
14,178.169,110.539,93.258
15,178.169,110.482,93.535
16,178.3,109.143,93.668
17,178.304,109.52,93.52
18,178.304,109.448,93.798
19,178.304,109.541,93.794
20,178.178,108.717,93.788
21,178.308,109.771,93.645
22,178.568,109.771,93.631
23,178.701,109.353,93.899
24,178.834,109.351,93.889
25,179.093,109.351,93.884
26,179.222,109.44,93.744
27,179.222,109.44,93.744
28,179.222,109.579,93.748
29,179.353,108.889,94.011
30,179.353,108.904,94.011
31,179.353,109.922,94.289
32,179.353,109.906,94.284
33,179.353,109.635,94.284
34,179.353,109.572,94.284
35,179.483,110.09,94.422
36,179.484,110.256,94.553
37,179.484,110.859,94.553
38,179.484,111.18,94.839
39,179.485,111.048,95.25
40,179.484,111.232,95.116
41,179.484,111.666,95.116
42,179.484,111.628,95.111
43,179.484,111.647,95.111
44,179.613,111.275,95.533
45,179.613,111.219,95.533
46,179.613,111.406,95.533
47,179.613,111.465,95.251
48,179.484,111.285,95.387
49,179.484,110.81,95.38
50,179.484,110.15,95.38
51,179.484,110.15,95.38
52,179.484,110.457,95.38
53,179.353,110.615,95.681
54,179.482,110.71,95.703
55,179.352,111.194,95.846
56,179.35,111.383,95.72
57,179.35,111.441,95.724
58,179.35,111.576,95.724
59,179.35,111.673,95.724
60,179.35,111.556,95.724
61,179.35,111.518,95.724
62,179.093,111.345,95.861
63,179.093,111.458,96.147
64,178.963,111.605,96.006
65,178.704,111.821,95.726
66,178.445,111.98,95.45
67,178.315,112.148,95.029
68,178.186,112.097,94.893
69,177.927,112.236,94.622
70,177.932,112.276,94.751
71,178.061,112.345,94.606
72,178.061,112.285,94.605
73,178.061,112.325,94.605
74,178.061,112.287,94.885
75,178.061,112.328,94.885
76,178.061,112.328,94.885
77,178.061,112.368,94.885
78,178.061,112.348,94.885
79,178.19,112.278,95.021
80,178.19,112.628,95.019
81,178.19,113.338,95.019
82,178.19,113.472,95.016
83,178.19,113.72,95.016
84,178.19,113.652,95.019
85,178.19,113.539,95.019
86,178.194,113.427,95.146
87,178.194,113.36,95.149
88,178.194,113.338,95.149
89,178.194,113.449,95.149
90,178.194,113.494,95.149
91,178.194,113.539,95.149
92,178.194,113.382,95.149
93,178.194,113.272,95.149
94,178.194,113.316,95.149
95,178.194,113.25,95.146
96,178.194,113.206,95.146
97,178.194,113.228,95.146
98,178.323,113.111,95.274
99,178.327,112.944,95.674
100,178.323,112.858,95.55
101,178.452,112.578,95.972
102,178.448,112.41,95.839
103,178.319,112.256,95.986
104,178.448,112.144,96.125
105,178.448,111.922,96.419
106,178.448,111.681,97.002
107,178.574,111.353,97.317
108,178.574,111.273,97.611
109,178.574,111.153,97.906
110,178.441,110.85,98.224
111,178.441,110.736,98.224
112,178.441,110.531,98.224
113,178.441,110.531,98.224
114,178.441,110.433,98.522
115,178.441,110.217,99.121
116,178.441,110.1,99.42
117,178.441,109.724,100.018
118,178.441,109.285,100.623
119,178.311,109.173,101.09
120,178.186,108.263,101.062
121,178.056,108.546,101.221
122,177.797,108.791,101.541
123,177.668,108.905,101.391
124,177.539,108.94,101.552
125,177.409,109.529,101.713
126,177.286,108.435,102.319
127,177.157,108.646,102.483
128,177.028,108.68,102.647
129,176.899,108.681,102.822
130,176.899,108.549,102.83
131,176.913,108.667,103.714
132,176.913,108.435,103.721
133,176.785,108.305,103.894
134,176.785,108.585,104.219
135,176.785,107.781,104.219
136,176.906,106.568,104.239
137,177.28,106.221,104.443
138,177.913,106.742,105.167
139,178.039,105.72,105.85
140,178.427,105.491,106.882
141,178.692,104.663,107.685
142,178.954,104.783,108.012
143,179.477,106.056,108.342
144,179.609,107.48,108.064
145,180.0,107.617,107.546
146,-179.74,107.786,107.33
147,-179.611,107.236,106.959
148,-179.482,107.376,106.141
149,-179.353,107.695,105.768
150,-179.484,107.312,105.73
151,-179.613,107.699,105.573
152,-179.484,108.658,105.412
153,-179.484,108.712,105.74
154,-179.613,108.452,106.231
155,-179.742,108.027,106.726
156,-179.741,107.255,106.94
157,-179.741,106.773,107.611
158,-179.611,106.395,107.993
159,-179.611,105.966,108.675
160,-179.48,104.829,109.066
161,-179.349,103.982,109.809
162,-179.217,103.578,110.211
163,-179.346,103.134,110.962
164,-179.346,103.123,111.676
165,-179.343,103.295,112.153
166,-179.474,103.439,112.33
167,-179.606,103.191,112.872
168,-179.606,103.062,113.238
169,-179.474,103.547,113.426
170,-179.606,103.436,113.605
171,-179.473,102.586,113.667
172,-179.605,102.658,113.478
173,-179.605,103.692,113.095
174,-179.605,104.025,112.729
175,-179.473,103.718,112.535
176,-179.473,103.532,112.535
177,-179.473,103.751,112.535
178,-179.605,104.036,112.713
179,-179.605,103.829,112.713
180,-179.606,103.739,112.843
181,-179.605,103.673,112.713
182,-179.605,103.661,112.713
183,-179.737,103.627,112.891
184,-179.868,103.559,113.07
185,-179.868,103.828,113.07
186,-179.737,104.433,112.891
187,-179.737,104.225,112.542
188,-179.737,104.295,112.193
189,-179.737,104.175,111.844
190,-179.737,104.152,111.992
191,-179.737,104.071,112.011
192,-179.737,104.082,112.014
193,-179.606,104.175,111.836
194,-179.607,104.363,111.959
195,-179.476,105.113,111.78
196,-179.608,105.228,111.721
197,-179.608,105.162,111.721
198,-179.608,104.916,111.128
199,-179.739,104.726,110.95
200,-179.739,104.014,110.95
201,-179.739,104.275,110.95
202,-179.74,104.227,110.719
203,-179.609,104.891,110.544
204,-179.479,104.869,110.721
205,-179.479,105.557,110.721
206,-179.609,104.249,110.544
207,-179.479,103.734,110.369
208,-179.478,104.283,110.247
209,-179.347,106.506,110.072
210,-179.217,106.363,109.897
211,-179.084,106.491,109.951
212,-178.954,106.321,110.126
213,-178.82,106.096,110.174
214,-178.823,105.91,110.293
215,-178.82,105.644,110.51
216,-178.817,105.603,110.37
217,-178.686,105.662,110.897
218,-178.686,106.314,110.882
219,-178.683,106.269,110.734
220,-178.683,106.715,110.734
221,-178.683,106.699,110.734
222,-178.683,106.652,110.734
