frame,shoulder_tilt,forward_lean,neck_angle
1,-175.707,137.232,53.894
2,-175.697,120.344,54.014
3,-175.845,120.436,54.525
4,-175.305,120.63,55.125
5,-175.454,120.572,55.417
6,-175.305,121.118,55.251
7,-175.03,120.314,55.146
8,-174.893,120.07,54.861
9,-174.631,120.654,54.396
10,-174.631,120.297,54.281
11,-174.793,120.538,54.552
12,-174.806,120.764,54.892
13,-174.806,120.839,54.885
14,-174.917,120.783,54.476
15,-175.042,120.513,54.421
16,-175.03,120.337,54.778
17,-174.881,119.954,54.849
18,-175.421,118.53,55.072
19,-174.818,119.105,54.768
20,-174.623,119.651,54.758
21,-174.356,120.342,53.007
22,-176.195,123.133,52.27
23,-177.081,123.377,52.152
24,-178.874,120.604,54.464
25,-177.911,122.685,53.106
26,-176.046,122.026,52.792
27,-176.285,121.608,53.691
28,-175.686,120.431,54.17
29,-175.104,120.379,53.932
30,-175.267,123.326,53.491
31,-175.489,122.753,53.701
32,-175.267,123.082,53.903
33,-175.166,123.276,54.138
34,-175.046,123.852,54.082
35,-174.349,124.521,54.615
36,-173.991,124.197,54.872
37,-173.966,128.129,54.666
38,-173.593,125.981,54.531
39,-173.473,125.973,54.586
40,-173.354,129.01,54.538
41,-173.326,130.177,54.35
42,-173.432,127.858,54.209
43,-173.418,128.514,54.013
44,-173.191,128.455,54.015
45,-173.071,127.892,53.968
46,-172.95,128.636,53.913
47,-172.95,129.529,53.603
48,-172.98,128.351,53.491
49,-172.86,128.785,53.414
50,-172.771,129.816,53.355
51,-172.89,135.305,53.205
52,-172.905,132.458,53.199
53,-172.771,131.487,53.063
54,-172.89,131.784,53.011
55,-172.89,131.604,52.914
56,-173.009,131.58,52.863
57,-173.248,132.779,52.76
58,-173.367,133.031,52.71
59,-173.607,132.758,52.619
60,-173.607,132.131,52.619
61,-173.726,132.486,52.568
62,-173.713,131.443,52.477
63,-173.593,131.943,52.527
64,-173.593,131.83,52.623
65,-173.593,130.529,52.623
66,-173.593,132.119,52.708
67,-173.7,133.709,52.566
68,-173.82,133.998,52.515
69,-173.58,131.836,52.426
70,-173.58,133.604,52.246
71,-173.58,133.749,52.151
72,-173.7,132.997,52.007
73,-173.713,132.966,52.193
74,-174.061,132.707,52.32
75,-174.048,132.675,52.313
76,-173.928,133.654,52.363
77,-173.687,134.613,52.369
78,-173.58,133.741,52.426
79,-173.46,129.943,52.401
80,-173.22,130.576,52.322
81,-173.1,130.429,52.278
82,-173.1,130.606,52.297
83,-172.965,134.293,52.265
84,-173.071,135.15,52.208
85,-172.845,134.234,52.325
86,-172.965,133.745,52.274
87,-172.845,132.565,52.429
88,-172.83,133.827,52.344
89,-172.574,134.671,52.474
90,-172.301,133.958,52.69
91,-172.042,134.015,52.711
92,-171.68,134.757,52.894
93,-171.783,135.993,52.852
94,-171.766,136.57,52.858
95,-171.766,136.667,52.863
96,-172.13,136.03,52.995
97,-172.079,136.256,52.806
98,-172.201,135.78,52.848
99,-172.185,136.26,52.849
100,-172.397,135.662,53.132
101,-172.504,135.314,53.176
102,-172.875,133.556,53.505
103,-173.37,131.041,53.884
104,-173.743,129.827,54.224
105,-173.867,129.11,54.374
106,-173.867,129.396,54.584
107,-173.991,127.733,54.63
108,-173.991,128.837,54.525
109,-174.115,128.216,54.676
110,-174.115,127.404,54.569
111,-173.756,128.61,54.427
112,-173.646,132.781,54.481
113,-173.319,131.305,54.539
114,-173.074,127.687,54.448
