frame,shoulder_tilt,forward_lean,neck_angle
0,179.758,120.836,70.603
1,179.879,110.031,71.073
2,-179.637,110.356,71.008
3,-177.811,109.091,71.886
4,-176.827,108.836,72.363
5,-176.072,108.892,72.045
6,-175.827,109.067,71.72
7,-175.535,109.519,70.981
8,-175.391,109.358,70.501
9,-175.361,109.829,69.654
10,-175.717,110.756,68.831
11,-175.717,111.407,66.792
12,-175.717,112.539,65.44
13,-175.843,114.244,64.489
14,-175.726,115.414,64.246
15,-176.094,115.335,63.763
16,-176.987,114.606,64.03
17,-177.51,114.761,64.325
18,-178.012,114.937,64.567
19,-178.512,115.105,64.668
20,-178.642,115.657,64.675
21,-179.016,115.553,64.961
22,-179.016,115.383,64.817
23,-179.264,115.805,64.926
24,-179.387,115.511,64.996
25,-179.256,116.119,64.363
26,-179.627,115.925,64.183
27,-179.748,115.431,63.993
28,-179.747,117.221,62.238
29,-178.744,119.009,57.895
30,-179.381,120.481,55.635
31,-178.297,123.589,56.7
32,-179.279,120.911,58.115
33,179.403,120.856,59.301
34,179.047,120.197,59.697
35,178.103,120.409,60.168
36,177.752,120.549,60.46
37,177.875,121.344,59.672
38,177.993,121.145,59.845
39,178.111,121.903,59.666
40,178.221,121.666,59.517
41,178.34,121.668,59.69
42,178.221,121.582,59.749
43,178.218,120.777,59.994
44,178.099,120.53,60.419
45,177.857,120.231,60.568
46,177.614,119.435,61.207
47,177.479,118.97,61.961
48,177.584,118.398,62.729
49,177.331,118.134,63.035
50,177.32,117.067,63.069
51,177.198,116.656,63.671
52,177.192,116.369,63.701
53,177.314,116.368,63.897
54,177.309,115.947,64.342
55,177.297,116.018,64.399
56,177.548,115.911,64.79
57,177.783,115.452,65.568
58,177.431,114.449,66.266
59,177.071,114.436,66.725
60,176.834,115.033,67.135
61,176.84,114.565,67.975
62,176.962,114.595,68.356
63,176.84,114.22,68.9
64,176.726,113.952,69.089
65,176.605,113.956,69.327
66,176.363,114.087,69.187
67,176.242,114.559,69.112
68,176.113,114.868,68.917
69,175.992,114.133,68.999
70,175.871,114.214,69.081
71,175.75,114.41,69.163
72,175.508,114.269,69.487
73,175.508,113.945,70.126
74,175.387,113.373,70.536
75,175.267,113.109,70.949
76,175.146,112.781,71.354
77,175.025,112.241,71.762
78,175.025,112.142,72.099
79,175.025,112.043,72.253
80,174.904,112.226,72.343
