frame,shoulder_tilt,forward_lean,neck_angle
0,-163.578,125.462,65.341
1,-164.45,124.901,65.527
2,-164.618,124.067,66.004
3,-164.702,124.283,66.596
4,-164.521,123.337,66.673
5,-164.288,121.122,67.084
6,-163.938,120.728,67.264
7,-163.822,119.991,67.426
8,-163.822,120.058,67.351
9,-163.706,119.454,67.324
10,-163.624,119.656,67.572
11,-163.508,119.662,67.677
12,-163.359,120.162,67.564
13,-163.243,120.214,67.669
14,-163.012,121.052,67.88
15,-163.012,120.828,68.013
16,-163.047,120.932,68.024
17,-162.968,120.662,68.215
18,-162.853,121.358,68.127
19,-162.66,121.131,68.08
20,-162.66,123.295,67.947
21,-162.739,123.828,67.772
22,-162.468,123.951,67.766
23,-162.546,124.214,67.592
24,-162.546,124.158,67.592
25,-162.433,123.813,67.565
26,-162.66,123.758,67.286
27,-162.774,121.912,67.113
28,-162.888,122.399,67.009
29,-162.888,122.678,67.009
30,-163.003,122.795,66.906
31,-163.117,124.002,66.733
32,-163.232,124.154,66.759
33,-163.427,124.044,66.543
34,-163.347,124.955,66.586
35,-163.312,124.755,66.446
36,-163.347,125.157,66.515
37,-163.462,125.344,66.413
38,-163.577,126.558,66.311
39,-163.807,126.457,66.107
40,-163.807,126.735,66.107
41,-163.923,126.621,66.006
42,-163.923,126.476,66.062
43,-164.038,126.061,65.961
44,-164.27,125.888,66.012
45,-164.353,126.455,65.969
46,-164.386,125.84,65.983
47,-164.386,125.84,66.054
48,-164.469,126.001,65.883
49,-164.469,125.703,65.883
50,-164.27,125.602,65.912
51,-164.302,125.602,66.052
52,-164.219,125.357,66.292
53,-164.219,125.849,66.232
54,-164.252,126.48,66.371
55,-164.252,126.328,66.371
56,-164.284,126.441,66.381
57,-164.202,126.994,66.428
58,-164.284,127.046,66.385
59,-164.169,128.139,66.357
60,-164.169,128.139,66.357
61,-164.284,128.018,66.256
62,-164.169,127.719,66.357
63,-164.055,127.664,66.328
64,-164.022,127.41,66.257
65,-164.022,127.379,66.322
66,-164.137,126.284,66.156
67,-164.252,126.354,66.056
68,-164.219,126.839,65.919
69,-164.252,124.797,65.991
70,-164.482,124.972,66.109
71,-164.546,123.983,66.251
72,-164.578,124.198,66.389
73,-164.578,124.118,66.518
74,-164.693,124.161,66.607
75,-164.682,123.108,66.461
76,-164.682,122.747,66.532
77,-164.766,122.99,66.419
78,-164.798,122.784,66.489
79,-164.86,122.917,66.442
80,-165.007,122.654,66.354
81,-165.038,123.61,66.424
82,-165.244,123.285,66.487
83,-167.564,121.691,66.219
84,-167.761,120.24,66.906
85,-168.619,116.841,67.523
86,-169.0,116.529,67.804
87,-168.95,118.141,68.299
88,-168.97,115.197,69.387
89,-168.644,114.18,70.322
90,-168.171,116.906,70.784
91,-168.111,118.711,70.981
92,-168.0,122.299,71.081
93,-167.73,122.294,71.136
94,-167.842,121.493,71.244
95,-167.818,121.112,71.236
96,-167.508,121.111,71.372
97,-167.397,120.628,71.185
98,-167.372,121.056,70.764
99,-167.484,122.29,70.603
100,-167.484,122.147,70.462
101,-167.508,121.125,70.535
102,-167.595,121.379,70.161
103,-167.833,121.231,69.461
104,-167.897,119.84,69.228
105,-167.76,119.964,69.39
106,-167.497,118.945,68.661
107,-167.331,118.654,68.619
108,-167.279,119.697,68.41
109,-167.369,119.638,68.306
110,-167.369,120.605,68.374
111,-167.394,121.879,68.377
112,-167.394,121.613,68.377
113,-167.369,122.276,67.968
114,-167.484,119.901,67.8
115,-167.65,119.745,67.915
116,-167.7,118.315,68.197
117,-167.611,118.495,68.436
118,-167.686,119.444,68.72
119,-167.913,121.21,68.659
120,-167.913,123.413,68.456
121,-168.027,122.961,68.359
122,-168.232,122.404,68.361
123,-168.232,122.358,68.158
124,-168.322,123.439,68.055
125,-168.437,122.575,68.227
126,-168.437,122.103,68.227
127,-168.299,121.986,68.456
128,-168.069,121.617,68.722
129,-168.069,119.494,68.858
130,-167.954,119.059,69.158
131,-167.954,119.129,69.298
132,-167.471,119.147,69.757
133,-167.357,122.236,69.924
134,-166.979,122.119,70.114
135,-167.093,122.288,69.872
136,-167.232,122.385,69.69
137,-167.232,122.615,69.549
138,-167.257,121.117,69.748
139,-167.283,120.326,69.823
140,-167.196,120.474,69.857
141,-167.083,120.632,69.676
142,-167.196,120.581,69.515
143,-167.334,122.16,69.352
144,-167.334,122.233,69.291
145,-167.359,122.63,69.228
146,-167.409,122.658,69.299
147,-167.881,124.339,68.923
148,-167.881,125.583,68.726
149,-167.769,125.087,68.564
150,-167.881,124.016,68.343
151,-167.633,122.966,68.012
152,-167.496,123.205,67.58
153,-167.334,123.266,67.398
154,-167.221,121.93,67.426
155,-167.048,122.024,67.831
156,-167.074,120.146,68.098
157,-167.074,120.54,68.292
158,-167.186,120.53,68.449
159,-167.186,120.291,68.712
160,-167.186,122.364,68.773
161,-167.074,122.054,68.87
162,-167.186,121.455,69.037
163,-167.186,121.432,69.037
164,-167.211,122.504,69.238
165,-167.186,122.884,69.23
166,-167.384,122.015,69.365
167,-167.559,121.586,69.282
168,-167.308,119.794,69.337
169,-167.196,119.888,69.437
170,-167.144,118.928,69.359
171,-167.119,119.967,69.292
172,-166.892,119.977,69.223
173,-166.667,123.042,69.29
174,-166.667,122.703,69.156
175,-166.667,122.086,69.366
176,-166.753,122.431,69.046
177,-166.84,122.678,68.878
178,-166.953,122.692,68.777
179,-166.953,121.392,68.777
180,-167.154,121.703,68.7
181,-167.268,122.548,68.6
182,-167.331,123.11,68.266
183,-167.331,123.458,68.399
184,-166.908,122.357,68.261
185,-166.733,119.701,68.411
186,-166.591,119.509,68.444
187,-166.935,119.503,68.54
188,-167.175,121.524,68.046
189,-167.238,120.428,67.78
190,-167.148,118.642,67.817
191,-167.122,119.127,67.668
192,-167.122,120.491,67.668
193,-167.032,120.512,68.049
194,-166.943,120.702,68.116
195,-166.766,121.275,68.084
196,-166.651,120.144,67.944
197,-166.854,121.474,67.806
198,-166.97,121.146,67.838
199,-167.381,122.244,67.672
200,-167.471,121.744,67.767
201,-167.471,120.956,67.979
202,-167.654,120.876,67.826
203,-167.51,120.599,67.938
204,-167.393,120.243,67.905
205,-167.393,120.22,67.905
206,-167.185,119.645,68.065
207,-167.005,118.811,68.234
208,-166.624,118.9,68.607
209,-166.651,119.988,68.687
210,-166.651,119.636,68.687
211,-166.651,119.581,68.823
212,-166.536,119.329,68.652
213,-166.854,120.544,68.54
214,-167.085,120.034,68.609
215,-167.407,121.859,68.569
216,-167.73,122.961,68.12
217,-167.755,122.881,68.191
218,-167.964,123.968,68.19
219,-167.897,123.512,68.448
220,-167.897,122.605,68.448
221,-168.013,122.412,68.348
222,-168.013,122.132,68.348
223,-167.897,121.815,68.448
224,-167.639,122.046,68.38
225,-167.407,124.206,68.445
226,-167.059,124.277,68.612
227,-166.426,124.152,68.842
228,-166.453,122.188,68.913
229,-166.338,120.466,68.742
230,-166.453,121.122,68.503
231,-166.453,121.361,68.503
232,-166.453,119.971,68.503
233,-166.569,119.789,68.33
