frame,shoulder_tilt,forward_lean,neck_angle
0,-178.063,125.734,64.67
1,-178.352,127.099,64.243
2,-178.764,127.889,64.315
3,-179.178,127.292,64.81
4,-179.726,127.802,63.251
5,-179.591,128.881,62.833
6,-179.454,128.823,62.762
7,-179.043,129.697,62.572
8,-178.356,130.752,61.803
9,-178.493,131.0,61.289
10,-178.764,130.815,61.307
11,-178.898,130.199,61.509
12,180.0,130.624,61.093
13,179.723,130.957,60.38
14,179.586,131.201,60.017
15,179.861,131.375,59.863
16,180.0,131.31,59.572
17,-179.441,131.878,58.777
18,-178.879,132.147,58.261
19,-178.874,132.33,57.89
20,-179.01,132.54,57.715
21,-179.434,132.739,58.036
22,180.0,132.274,58.818
23,179.859,132.372,59.011
24,179.294,132.176,59.273
25,179.294,131.755,59.69
26,179.293,131.611,59.556
27,179.434,130.533,59.488
28,179.294,129.034,59.674
29,179.577,129.713,59.399
30,179.012,130.282,58.98
31,179.012,130.449,58.98
32,178.871,130.579,59.072
33,178.73,130.551,59.01
34,178.586,129.463,58.551
35,178.311,127.3,58.516
36,178.733,126.533,58.315
37,179.019,127.548,58.408
38,179.86,128.327,57.103
39,-178.879,127.091,57.185
40,-178.34,128.149,57.266
41,-177.254,129.507,57.15
42,-176.031,131.871,57.632
43,-176.041,131.796,57.873
44,-176.031,130.499,58.403
45,-176.304,130.92,59.726
46,-176.577,129.877,60.265
47,-176.706,129.165,60.488
48,-177.117,129.766,60.265
49,-177.248,129.25,60.769
50,-177.379,131.091,60.716
51,-176.223,130.155,61.311
52,-176.186,130.369,61.989
53,-176.45,129.362,62.031
54,-177.443,129.263,61.631
55,-178.299,129.599,61.444
56,-178.294,129.531,61.319
57,-178.997,130.459,59.002
58,-179.284,129.03,58.446
59,-179.714,129.902,57.43
60,179.856,130.233,57.118
61,179.712,129.504,57.315
62,-179.565,127.793,57.832
63,-179.71,127.853,58.305
64,179.564,127.426,58.642
65,180.0,126.314,58.875
66,-179.853,125.967,58.602
67,-179.704,126.811,57.73
68,180.0,126.987,57.064
69,179.85,126.937,56.335
70,-179.849,127.141,55.966
71,-179.849,129.953,54.669
72,-179.698,129.5,54.734
73,-179.698,129.495,54.476
74,180.0,129.436,54.601
75,-179.848,130.94,54.539
76,-179.848,131.278,54.528
77,179.848,130.343,54.518
78,179.697,131.401,54.707
79,179.848,131.387,54.646
80,-179.848,130.865,54.78
81,-179.694,126.966,54.993
82,180.0,127.083,55.382
83,180.0,128.01,55.382
84,180.0,128.29,54.6
85,180.0,128.398,54.333
86,180.0,128.922,53.815
87,180.0,129.168,53.434
88,180.0,129.307,53.31
89,180.0,129.857,53.185
90,179.846,129.515,53.23
91,179.845,128.072,52.988
92,179.689,127.368,52.917
93,179.689,126.758,53.05
94,179.844,126.879,53.132
95,179.688,126.721,53.067
96,179.688,128.284,52.819
97,179.688,129.729,52.819
98,179.844,131.96,53.257
99,179.844,131.431,53.495
100,-179.689,130.891,53.443
101,-179.533,130.741,53.635
102,-179.381,130.49,54.089
103,-179.224,128.729,53.899
104,-179.071,128.721,53.582
105,-179.071,129.196,53.207
106,-178.916,129.217,53.026
107,-178.913,129.31,52.918
108,-178.913,130.782,52.924
109,-178.913,130.683,52.929
110,-178.913,130.443,53.052
111,-178.758,130.295,53.246
112,-178.755,130.612,53.255
113,-178.758,129.915,53.506
114,-178.758,129.091,53.509
115,-178.758,128.401,53.635
116,-178.913,128.5,53.569
117,-179.068,128.828,53.381
118,-179.226,128.82,53.315
119,-179.226,125.97,53.565
120,-179.073,126.034,53.627
121,-178.919,126.371,53.564
122,-178.919,125.237,53.94
123,-178.61,124.933,54.201
124,-178.61,123.924,54.458
125,-178.61,123.825,54.584
126,-178.456,124.214,54.783
127,-178.61,124.609,54.714
128,-179.23,125.71,54.566
129,-179.384,125.645,54.629
130,-179.539,126.434,54.808
131,-179.538,126.539,54.556
132,-179.692,125.191,54.618
133,-179.538,125.255,54.55
134,-179.23,124.94,54.556
135,-179.386,124.183,54.482
136,-179.387,124.608,54.347
137,-179.387,125.088,54.099
138,-179.236,125.202,54.165
139,-179.238,126.992,54.296
140,-179.238,126.907,54.296
141,-179.39,126.832,54.23
142,-179.543,126.861,54.039
143,-179.695,126.712,54.104
144,-179.848,124.89,54.17
145,180.0,122.594,54.231
146,179.848,123.369,54.171
147,179.848,124.536,54.171
148,179.848,126.492,53.919
149,179.848,126.39,54.04
150,180.0,126.907,53.729
151,-179.848,128.802,53.421
152,-179.695,128.87,53.365
153,-179.39,129.725,53.124
154,-179.39,129.174,53.365
155,-179.544,128.591,54.299
156,180.0,126.851,55.389
157,179.698,125.287,57.538
158,179.546,125.201,57.889
159,179.397,124.753,58.232
160,179.548,124.823,58.304
161,179.698,124.296,58.366
162,179.849,126.302,58.17
163,179.849,126.608,58.319
164,179.849,127.672,58.18
165,179.849,128.006,58.045
166,179.849,127.603,57.888
167,179.85,127.436,57.879
168,180.0,127.791,57.527
169,180.0,128.484,57.249
170,180.0,128.581,56.702
171,179.85,128.747,56.633
172,179.849,127.692,56.506
173,180.0,127.605,56.707
174,180.0,126.52,56.715
175,-179.849,124.059,56.918
176,-179.698,123.996,57.246
177,-179.548,124.633,57.036
178,-179.546,124.447,56.775
179,-179.395,123.867,56.846
180,-179.244,123.88,56.917
181,-179.397,125.318,56.965
182,-179.849,128.793,55.956
183,-179.848,130.292,53.921
184,-179.848,128.622,53.428
185,180.0,126.916,53.243
186,179.691,125.021,53.247
187,179.844,123.654,53.187
188,180.0,124.249,53.123
189,179.844,124.706,52.807
190,179.688,128.096,52.495
191,179.687,128.437,52.009
192,179.686,127.473,51.76
193,180.0,127.297,51.881
194,-179.842,126.212,52.189
195,-179.053,125.807,52.382
196,-178.58,123.918,52.327
197,-177.955,123.34,53.465
198,-177.966,126.715,54.758
199,-177.355,126.595,55.824
200,-177.052,126.751,56.089
201,-177.06,124.424,57.617
202,-177.107,123.703,58.978
203,-176.687,123.555,60.634
204,-177.491,124.252,61.464
205,-176.941,124.327,61.514
206,-176.668,123.595,62.995
207,-176.523,124.194,63.543
208,-176.523,124.988,64.029
209,-176.09,124.362,64.46
210,-175.535,125.018,64.906
211,-175.986,128.784,64.738
212,-176.138,128.669,64.613
213,-176.433,128.232,64.575
214,-176.29,127.528,64.489
215,-176.309,128.157,64.584
216,-176.459,128.686,64.949
217,-176.6,127.875,65.391
218,-176.742,127.585,64.983
219,-177.152,126.43,64.799
220,-177.566,127.782,64.774
221,-177.704,127.034,64.717
222,-177.842,129.321,63.522
223,-178.129,129.262,63.037
224,-178.561,130.27,62.646
225,-179.134,129.148,62.979
226,-179.711,128.503,63.783
227,179.711,126.178,64.764
228,179.278,127.66,64.503
229,179.423,128.624,64.246
230,179.275,128.369,64.06
231,179.278,128.332,64.642
232,179.423,128.91,64.56
233,179.424,129.18,64.484
234,179.713,127.944,64.6
235,179.713,127.821,64.752
236,179.856,127.558,64.673
237,180.0,124.289,64.634
238,-179.855,127.101,64.458
239,179.855,128.227,64.19
240,179.414,129.019,63.726
241,179.114,129.56,61.927
242,178.81,130.637,59.571
243,178.81,131.624,58.002
244,178.807,131.814,57.18
245,178.493,131.705,56.676
246,178.481,131.939,56.031
247,178.629,132.394,55.576
248,178.775,132.537,55.397
249,178.464,132.825,54.62
250,178.152,133.098,54.119
251,177.691,132.712,54.577
252,177.691,132.749,54.577
253,177.685,131.629,54.564
254,176.864,130.855,54.8
255,176.513,130.636,54.445
256,176.334,131.166,54.157
257,176.324,127.936,53.768
258,175.835,127.449,53.459
259,175.49,127.134,53.342
260,174.849,126.909,53.105
261,174.835,127.045,53.233
262,174.82,127.282,53.097
263,174.82,127.545,52.705
264,174.981,127.678,52.381
265,174.82,126.975,52.191
266,176.005,126.12,52.837
267,177.296,121.567,59.448
268,178.264,119.528,62.618
269,179.367,118.709,63.931
270,180.0,116.405,64.962
271,-179.526,117.274,65.595
272,-179.37,118.061,65.641
273,-178.901,118.018,66.622
274,-178.904,116.891,68.894
275,-178.748,118.529,68.595
276,-178.599,116.979,69.187
277,-178.448,117.623,69.819
278,-178.297,117.052,70.074
279,-178.614,116.741,70.582
280,-178.306,114.459,71.229
281,-178.157,113.658,72.765
282,-178.477,115.062,71.723
283,-178.784,116.399,69.044
284,-178.784,121.669,66.214
285,-179.091,123.51,65.623
286,-178.489,122.418,66.631
287,-178.64,120.696,67.94
288,-178.947,123.085,68.444
289,-179.406,123.69,68.006
290,-179.853,123.042,68.295
291,180.0,122.729,68.573
292,179.562,124.871,64.346
293,180.0,128.157,63.254
294,-179.854,128.598,63.339
295,-178.546,127.644,64.549
296,-177.98,128.212,65.456
297,-177.99,127.445,65.709
298,-177.732,124.726,66.868
299,-177.894,124.392,68.336
300,-178.344,120.731,70.981
301,-178.485,124.165,71.019
302,-177.534,123.443,72.905
303,-176.449,124.509,72.527
304,-175.779,125.039,72.404
305,-176.186,125.081,72.099
306,-176.069,125.649,71.153
307,-175.664,125.655,70.9
308,-175.415,125.628,70.445
309,-175.437,123.779,71.242
310,-175.059,125.231,71.065
311,-174.673,125.111,72.039
312,-174.408,124.417,74.31
313,-174.553,124.467,74.508
314,-174.553,124.6,74.704
315,-174.685,123.722,76.007
316,-173.777,120.855,75.92
317,-173.922,123.159,75.935
318,-173.298,124.692,74.96
319,-173.298,124.884,74.765
320,-173.703,123.659,74.376
321,-173.443,124.123,74.383
322,-174.485,121.535,72.608
323,-176.473,122.642,72.612
324,-176.733,125.701,72.784
325,-176.856,127.397,72.744
326,-176.987,126.962,72.28
327,-177.493,126.23,71.518
328,-177.325,126.552,70.859
329,-177.312,126.495,70.786
330,-177.293,126.202,70.593
331,-177.144,125.907,70.794
332,-177.11,123.261,70.504
333,-177.089,124.815,70.111
334,-176.929,124.741,70.0
335,-177.054,125.432,69.641
336,-177.602,125.317,68.825
337,-178.727,126.406,67.96
338,-179.005,124.327,67.342
339,-179.138,124.58,66.553
340,-179.567,125.168,65.852
341,-179.564,127.201,64.284
342,-179.564,128.148,63.47
343,180.0,129.714,61.503
344,179.563,129.45,61.892
345,178.977,129.684,61.871
346,178.828,129.605,61.823
347,178.389,129.734,61.589
348,178.671,122.905,61.648
349,178.961,122.482,61.845
350,178.512,126.51,61.579
351,178.205,125.666,61.799
352,178.201,125.483,61.689
353,178.489,125.855,62.124
354,178.784,126.251,62.193
355,178.477,124.419,62.739
356,178.162,124.749,62.456
357,178.132,126.027,61.647
358,178.898,125.975,61.701
359,179.053,126.667,61.807
360,179.211,128.101,62.059
361,179.211,128.065,62.05
362,179.211,128.065,62.041
363,179.209,127.742,61.906
364,179.211,125.897,63.409
365,179.209,121.736,64.865
366,178.892,118.174,66.675
367,178.889,116.803,67.898
368,179.206,117.212,68.887
369,179.367,117.921,69.335
370,179.209,116.808,69.212
371,179.206,115.333,68.887
372,179.202,116.083,67.393
373,179.2,116.862,66.476
374,179.04,122.31,65.619
375,180.0,122.0,65.908
376,180.0,121.679,65.948
377,179.838,120.752,65.969
378,179.838,119.92,65.969
379,180.0,121.038,66.353
380,180.0,119.693,66.893
381,180.0,120.71,67.635
382,179.84,121.796,67.677
383,179.362,125.586,65.65
384,178.883,125.558,63.541
385,178.56,123.705,63.402
386,178.235,123.827,62.902
387,178.069,123.241,62.84
388,178.064,123.182,62.702
389,178.064,121.378,62.889
390,178.069,120.114,63.027
391,178.874,120.098,63.498
392,179.034,120.644,63.056
393,178.877,121.254,63.291
394,178.88,121.201,63.444
395,179.2,120.278,64.176
396,179.04,116.752,65.558
397,179.045,116.565,66.416
398,179.048,117.294,66.752
399,179.05,117.471,66.892
400,179.209,119.482,67.181
401,179.206,122.243,67.04
402,179.048,122.321,66.94
403,178.572,121.946,67.041
404,178.572,121.011,68.016
405,178.58,121.191,68.098
406,178.895,120.719,68.487
407,178.901,119.738,68.809
