frame,shoulder_tilt,forward_lean,neck_angle
1,178.561,121.643,54.82
2,178.434,121.193,54.825
3,178.568,120.94,54.752
4,178.571,120.656,54.852
5,178.961,120.073,54.915
6,179.221,120.22,55.031
7,179.35,120.293,55.09
8,179.483,120.48,55.251
9,179.484,120.497,55.362
10,179.742,120.591,55.369
11,179.743,120.679,55.48
12,179.744,120.459,55.479
13,179.872,120.46,55.426
14,179.615,119.908,55.421
15,179.742,120.064,55.277
16,179.743,120.183,55.387
17,178.839,119.875,55.527
18,178.71,120.642,55.581
19,178.315,121.396,55.281
20,178.319,121.438,55.27
21,178.194,121.696,55.214
22,177.678,122.154,55.083
23,177.678,122.215,54.959
24,177.678,122.311,54.959
25,177.55,122.146,54.998
26,177.55,122.146,54.998
27,177.544,122.089,54.885
28,177.409,121.742,54.714
29,177.409,121.742,54.714
30,177.409,121.483,54.714
31,177.421,121.742,54.941
32,177.812,121.791,55.032
33,178.202,121.603,55.009
34,178.206,121.233,55.251
35,178.078,120.68,55.416
36,177.817,120.239,55.424
37,177.941,120.486,55.379
38,177.812,121.549,55.546
39,178.065,121.816,55.335
40,178.194,120.803,55.281
41,178.194,120.964,55.271
42,178.452,121.209,55.052
43,178.839,121.559,54.783
44,178.836,121.711,54.564
45,179.224,122.886,54.516
46,179.483,123.204,54.404
47,179.483,123.166,54.296
48,179.484,123.588,54.397
49,179.355,122.493,54.34
50,179.356,122.17,54.45
51,179.356,122.265,54.45
52,179.358,121.913,54.442
53,179.359,121.51,54.542
54,179.103,122.537,54.43
55,178.977,122.509,54.473
56,179.105,123.299,54.422
57,179.105,123.761,54.422
58,179.107,122.911,54.212
59,179.107,123.46,54.221
60,179.105,124.587,54.122
61,179.105,124.109,54.228
62,179.105,123.842,54.245
63,178.849,123.619,54.472
64,178.975,123.589,54.426
65,178.977,124.121,54.534
66,178.849,123.905,54.587
67,178.59,123.619,54.583
68,178.59,123.098,54.575
69,178.718,123.05,54.523
70,178.721,123.069,54.623
71,178.721,123.11,54.516
72,178.854,123.341,54.351
73,178.982,123.53,54.194
74,178.982,123.63,54.089
75,179.111,123.72,54.137
76,179.111,123.921,54.032
77,178.857,124.022,53.924
78,178.854,124.082,53.817
79,178.857,124.022,54.029
80,178.857,122.956,54.044
81,178.21,122.634,54.093
82,177.827,122.504,54.356
83,177.572,121.292,54.364
84,177.555,122.035,54.055
85,177.802,123.298,54.06
86,178.047,124.051,53.964
87,177.903,123.608,53.678
88,177.884,123.405,53.351
89,177.58,123.463,53.226
90,177.178,125.72,52.847
91,177.016,125.169,52.445
92,177.016,125.79,52.693
93,177.28,124.71,52.485
94,178.104,124.64,52.522
95,178.646,123.981,52.534
96,178.781,123.395,52.271
97,178.914,123.244,52.228
98,178.917,122.612,52.438
99,179.052,122.504,52.492
100,178.917,122.493,52.544
101,179.187,122.491,52.653
102,179.187,122.051,52.653
103,179.187,122.218,52.76
104,179.323,122.441,52.708
105,179.321,122.188,52.71
106,179.321,121.956,52.817
107,179.457,121.85,52.872
108,179.456,121.804,52.982
109,179.454,122.913,52.882
110,179.592,123.064,52.94
111,179.591,123.165,52.834
112,179.591,123.288,52.834
113,179.316,122.88,52.946
114,179.18,122.786,53.109
115,178.769,122.791,53.382
116,178.633,122.025,53.548
117,178.219,121.774,54.17
118,177.94,121.493,54.751
119,177.803,120.768,55.28
120,177.522,120.837,55.283
121,176.14,120.587,55.891
122,174.905,120.165,56.465
123,174.768,120.523,56.654
124,174.929,120.082,56.83
125,174.855,119.845,57.181
126,174.745,119.497,57.35
127,175.013,119.65,57.22
128,175.415,119.637,57.015
129,175.962,119.602,56.87
130,175.972,119.584,56.954
131,176.106,120.307,56.879
132,176.106,120.325,56.879
133,176.248,120.238,57.059
134,176.248,120.613,57.059
135,176.248,120.689,57.059
136,176.649,120.747,56.873
137,176.649,120.804,56.873
138,176.641,120.333,56.755
139,176.641,120.267,56.621
140,176.917,120.367,56.606
141,177.184,120.293,56.607
142,177.458,120.272,56.485
143,177.464,120.026,56.483
144,177.458,119.74,56.387
145,177.586,119.86,56.221
146,177.171,120.39,56.076
147,177.839,122.232,55.68
148,177.699,122.25,55.279
149,177.699,122.013,55.163
150,177.422,122.017,54.932
151,177.287,122.635,54.883
152,176.88,122.544,54.827
153,176.195,122.922,54.899
154,175.653,122.576,54.675
155,175.089,122.635,54.565
156,174.682,122.503,54.515
157,174.67,122.001,54.409
158,174.521,122.013,54.237
159,174.385,122.085,54.182
160,174.385,122.204,54.194
161,174.534,122.457,54.261
162,174.534,122.76,54.376
163,174.113,125.691,54.441
164,173.991,126.249,54.735
165,173.991,129.135,54.746
166,174.276,129.204,54.74
167,174.695,128.639,54.673
168,174.83,128.4,54.612
169,174.954,128.805,54.551
170,174.966,129.014,54.782
171,174.966,128.958,54.782
172,174.966,128.667,54.898
173,174.966,128.174,54.898
174,175.101,125.438,54.721
175,175.089,123.668,54.49
176,174.818,123.432,54.496
177,174.83,123.304,54.603
178,174.818,123.432,54.487
179,174.954,123.188,54.436
180,175.101,122.886,54.482
181,175.101,123.075,54.368
182,175.101,122.93,54.368
183,175.112,122.806,54.474
184,175.383,122.785,54.469
185,175.518,122.838,54.41
186,175.643,122.765,54.349
187,175.779,123.232,54.404
188,176.05,124.7,54.515
189,176.322,124.521,54.626
190,176.994,123.799,54.685
191,177.131,123.766,54.742
192,177.404,124.687,54.856
193,177.813,124.09,55.145
194,177.54,122.554,55.382
195,177.397,122.103,55.57
196,177.404,122.018,55.806
197,176.98,121.658,55.763
198,176.295,122.001,56.074
199,176.159,122.747,56.007
200,176.159,123.204,55.765
201,176.159,123.735,55.645
202,176.159,124.001,55.034
203,176.706,126.058,54.209
204,177.124,126.334,53.796
205,177.813,124.683,53.063
206,178.227,124.604,52.029
207,179.182,125.188,51.572
208,179.59,126.461,50.713
209,179.589,126.272,50.51
210,179.313,125.603,50.403
211,178.206,125.617,50.486
212,177.935,125.503,50.486
213,177.797,125.612,50.236
214,177.522,124.977,49.93
215,177.385,125.155,49.871
216,177.248,125.04,49.92
217,177.11,124.926,49.938
218,177.11,124.907,50.037
219,177.11,124.905,49.917
220,177.254,124.941,50.177
221,177.385,124.639,50.216
222,177.522,124.592,50.455
223,177.522,124.529,50.455
224,175.983,124.636,50.653
225,175.865,124.121,50.947
226,175.718,123.762,51.383
227,176.149,124.274,51.724
228,176.012,124.349,51.799
229,176.295,124.223,52.023
230,176.577,124.202,52.13
231,176.714,124.218,52.616
232,176.987,124.094,53.052
233,176.98,123.97,53.604
234,177.254,124.015,53.938
235,177.385,123.897,54.105
236,177.391,124.341,54.326
237,177.385,123.701,54.209
238,177.385,123.357,54.205
239,177.385,122.405,54.086
240,177.254,122.176,54.14
241,177.254,121.743,54.14
242,177.254,121.84,54.14
243,177.254,123.242,54.14
244,177.11,123.231,54.09
245,177.248,123.219,54.15
246,177.254,123.156,54.264
247,177.254,123.219,54.264
248,177.254,123.032,54.145
249,177.254,123.347,54.145
250,177.117,123.167,54.204
251,176.98,122.658,54.263
252,176.98,122.553,54.377
253,176.706,122.239,54.728
254,176.561,122.106,54.679
255,176.561,122.041,54.795
256,176.561,122.465,54.912
257,176.561,121.973,55.029
258,176.843,121.187,55.135
259,176.843,120.976,55.135
260,176.98,120.139,55.31
261,177.254,119.879,55.425
262,177.404,120.412,55.709
263,177.397,120.304,55.833
264,177.534,123.825,55.892
265,177.124,122.757,56.2
266,177.002,122.532,56.496
267,177.158,122.187,56.78
268,177.03,121.408,56.836
269,177.171,121.263,56.887
270,176.91,121.159,57.13
271,177.051,120.957,57.177
272,177.057,120.791,57.168
273,177.064,120.868,57.279
274,177.064,121.242,57.156
275,177.064,121.086,57.156
276,177.071,120.503,57.144
277,177.071,120.66,57.023
278,177.198,120.553,56.971
279,177.191,120.553,56.857
280,177.312,120.484,56.691
281,177.312,120.299,56.691
282,177.306,120.855,56.698
283,177.299,120.977,56.462
284,177.293,120.578,56.343
285,177.158,120.805,56.164
286,177.287,121.13,55.868
287,177.274,121.265,55.643
288,177.131,121.824,55.588
289,176.858,121.909,55.467
290,176.577,121.889,55.355
291,176.168,122.046,55.184
292,176.159,121.969,54.95
293,177.131,122.547,54.421
294,177.404,122.962,54.19
295,177.416,122.84,54.303
296,177.552,122.206,54.245
297,177.422,122.38,54.19
298,177.422,122.926,54.19
299,177.422,123.03,54.077
300,177.009,123.142,54.139
301,176.73,122.81,54.142
302,176.594,122.431,54.308
303,176.466,122.336,54.596
304,176.61,123.572,54.644
305,176.483,123.776,54.703
306,176.626,123.939,54.757
307,176.768,123.776,54.925
308,176.634,123.065,54.864
309,176.641,122.414,54.863
310,176.917,122.417,54.857
311,177.191,123.573,54.852
312,177.057,123.862,54.792
313,177.064,123.122,54.904
314,177.198,124.132,54.845
315,177.198,124.002,54.845
316,177.198,124.462,54.845
317,177.198,123.679,54.845
318,177.198,124.218,54.732
319,177.198,124.24,54.732
320,177.331,124.272,54.674
321,177.204,124.325,54.614
322,177.204,124.237,54.614
323,177.204,124.259,54.614
324,177.337,124.269,54.556
325,177.337,124.555,54.556
326,177.204,124.678,54.614
327,177.064,122.983,54.56
328,176.783,122.517,54.458
329,176.516,121.598,54.574
330,176.382,121.715,54.746
331,176.248,122.013,54.806
332,176.248,122.186,54.913
333,176.239,122.064,54.914
334,176.239,121.661,55.26
335,176.373,121.883,55.315
336,176.641,122.16,55.311
337,176.902,122.257,55.31
338,177.037,122.468,55.367
339,177.704,122.515,55.427
340,178.244,122.492,55.541
341,178.919,122.524,55.482
342,179.052,122.509,55.548
343,178.375,121.465,55.845
344,178.375,120.983,55.845
345,178.375,121.271,55.845
346,178.375,121.465,55.845
347,178.643,121.097,55.73
348,178.639,121.015,55.738
349,178.507,121.214,55.908
350,178.507,121.428,55.908
351,178.507,121.297,55.789
352,178.371,121.446,55.73
353,178.1,121.598,55.85
354,177.969,121.665,56.021
355,177.834,121.632,56.081
356,177.829,121.578,55.852
357,177.834,121.343,55.962
358,177.824,121.836,55.737
359,177.824,121.46,55.737
360,177.964,121.316,55.792
361,178.104,121.021,55.841
362,178.244,121.116,55.777
363,178.379,120.995,55.722
364,178.244,121.078,55.782
365,178.248,121.04,55.896
366,178.248,120.869,55.896
367,178.383,120.751,55.836
368,178.383,120.788,55.836
369,178.383,120.702,55.713
370,178.784,121.344,55.427
371,179.191,121.535,55.364
372,179.866,121.639,55.291
373,179.465,121.155,54.886
374,179.197,121.006,54.546
375,179.197,121.494,54.433
376,178.256,121.998,54.383
377,177.592,122.156,54.098
378,177.331,122.529,53.325
379,177.609,124.309,52.792
380,177.879,127.967,52.574
381,178.276,126.109,52.315
382,178.144,125.511,52.161
383,178.276,126.53,52.11
384,178.276,126.047,52.008
385,178.28,125.041,52.109
386,178.144,126.055,51.956
387,178.011,126.019,51.906
388,178.011,125.997,51.899
389,177.884,125.325,51.956
390,177.757,124.486,51.804
391,177.762,124.631,51.911
392,177.762,124.776,51.911
393,177.762,125.326,51.911
394,177.63,125.364,52.063
395,177.23,125.295,52.116
396,176.827,124.758,52.265
397,176.3,124.573,52.475
398,176.018,124.345,52.362
399,175.611,124.358,52.412
400,174.926,124.435,52.458
