frame,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z
0,0.507,0.3,-0.563,0.551,0.25,-0.516,0.466,0.251,-0.509,0.708,0.77,-0.188,0.319,0.762,-0.22
1,0.507,0.299,-0.595,0.552,0.249,-0.541,0.467,0.25,-0.536,0.708,0.77,-0.187,0.319,0.768,-0.237
2,0.507,0.298,-0.602,0.552,0.249,-0.55,0.467,0.25,-0.544,0.708,0.77,-0.192,0.32,0.772,-0.241
3,0.507,0.298,-0.598,0.553,0.248,-0.546,0.467,0.249,-0.54,0.708,0.771,-0.182,0.32,0.774,-0.247
4,0.507,0.297,-0.583,0.553,0.247,-0.533,0.467,0.249,-0.529,0.708,0.771,-0.173,0.32,0.775,-0.245
5,0.508,0.295,-0.583,0.553,0.245,-0.533,0.467,0.248,-0.528,0.709,0.771,-0.174,0.32,0.775,-0.245
6,0.508,0.293,-0.601,0.554,0.241,-0.547,0.467,0.245,-0.544,0.711,0.771,-0.178,0.32,0.774,-0.259
7,0.508,0.291,-0.598,0.555,0.237,-0.545,0.467,0.243,-0.542,0.715,0.772,-0.172,0.32,0.774,-0.257
8,0.509,0.287,-0.574,0.555,0.234,-0.521,0.467,0.236,-0.518,0.715,0.772,-0.168,0.321,0.771,-0.251
9,0.51,0.284,-0.568,0.556,0.231,-0.515,0.468,0.232,-0.512,0.715,0.773,-0.165,0.321,0.769,-0.249
10,0.511,0.283,-0.561,0.557,0.23,-0.507,0.469,0.23,-0.505,0.713,0.774,-0.147,0.321,0.769,-0.249
11,0.512,0.282,-0.562,0.558,0.23,-0.509,0.469,0.228,-0.506,0.712,0.774,-0.151,0.321,0.768,-0.246
12,0.512,0.281,-0.563,0.558,0.229,-0.509,0.47,0.227,-0.506,0.712,0.774,-0.141,0.322,0.766,-0.249
13,0.512,0.281,-0.571,0.558,0.229,-0.516,0.47,0.227,-0.52,0.713,0.775,-0.121,0.322,0.765,-0.276
14,0.513,0.282,-0.572,0.559,0.229,-0.516,0.471,0.227,-0.52,0.713,0.775,-0.123,0.322,0.765,-0.274
15,0.513,0.282,-0.589,0.558,0.23,-0.536,0.47,0.229,-0.539,0.714,0.777,-0.148,0.322,0.765,-0.274
16,0.513,0.284,-0.604,0.558,0.231,-0.553,0.471,0.233,-0.554,0.714,0.778,-0.175,0.321,0.765,-0.272
17,0.513,0.291,-0.616,0.558,0.234,-0.567,0.47,0.24,-0.567,0.713,0.778,-0.184,0.321,0.765,-0.277
18,0.512,0.294,-0.621,0.558,0.237,-0.571,0.47,0.243,-0.572,0.712,0.778,-0.182,0.32,0.765,-0.287
19,0.512,0.298,-0.62,0.558,0.242,-0.568,0.47,0.248,-0.568,0.71,0.778,-0.18,0.32,0.765,-0.284
20,0.511,0.303,-0.638,0.557,0.247,-0.589,0.47,0.252,-0.589,0.71,0.778,-0.2,0.32,0.765,-0.288
21,0.509,0.307,-0.636,0.556,0.252,-0.588,0.47,0.257,-0.589,0.709,0.778,-0.2,0.32,0.765,-0.287
22,0.507,0.309,-0.633,0.554,0.254,-0.583,0.469,0.259,-0.584,0.709,0.778,-0.197,0.32,0.764,-0.282
23,0.505,0.312,-0.629,0.553,0.256,-0.58,0.468,0.262,-0.58,0.709,0.778,-0.195,0.32,0.764,-0.282
24,0.503,0.317,-0.629,0.551,0.261,-0.582,0.466,0.266,-0.581,0.709,0.777,-0.195,0.321,0.765,-0.28
25,0.502,0.322,-0.628,0.55,0.265,-0.582,0.465,0.271,-0.581,0.708,0.777,-0.194,0.321,0.764,-0.278
26,0.501,0.324,-0.62,0.549,0.266,-0.576,0.465,0.272,-0.573,0.708,0.777,-0.193,0.321,0.764,-0.266
27,0.501,0.325,-0.62,0.549,0.267,-0.576,0.464,0.273,-0.573,0.708,0.776,-0.193,0.322,0.764,-0.264
28,0.5,0.328,-0.624,0.549,0.271,-0.58,0.464,0.276,-0.578,0.708,0.776,-0.193,0.322,0.764,-0.265
29,0.5,0.332,-0.608,0.549,0.275,-0.566,0.464,0.28,-0.565,0.708,0.777,-0.187,0.322,0.765,-0.261
30,0.501,0.334,-0.597,0.549,0.277,-0.555,0.464,0.282,-0.553,0.708,0.778,-0.185,0.322,0.766,-0.256
