frame,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z
1,0.545,0.357,-0.681,0.591,0.273,-0.634,0.494,0.279,-0.641,0.767,0.793,-0.128,0.324,0.768,-0.299
2,0.544,0.36,-0.669,0.591,0.277,-0.623,0.494,0.28,-0.625,0.767,0.795,-0.175,0.323,0.78,-0.285
3,0.543,0.363,-0.669,0.591,0.281,-0.623,0.494,0.283,-0.624,0.767,0.795,-0.195,0.322,0.787,-0.279
4,0.543,0.364,-0.679,0.591,0.283,-0.63,0.495,0.284,-0.631,0.767,0.795,-0.186,0.322,0.79,-0.28
5,0.543,0.366,-0.739,0.591,0.286,-0.685,0.496,0.287,-0.688,0.767,0.796,-0.188,0.322,0.792,-0.284
6,0.544,0.367,-0.758,0.591,0.287,-0.705,0.496,0.287,-0.709,0.767,0.796,-0.194,0.322,0.793,-0.293
7,0.544,0.368,-0.777,0.591,0.289,-0.724,0.496,0.289,-0.727,0.768,0.797,-0.207,0.322,0.794,-0.307
8,0.544,0.369,-0.826,0.591,0.29,-0.771,0.497,0.29,-0.775,0.769,0.798,-0.223,0.322,0.795,-0.323
9,0.545,0.371,-0.802,0.591,0.291,-0.75,0.497,0.291,-0.754,0.767,0.796,-0.217,0.322,0.795,-0.325
10,0.546,0.373,-0.831,0.591,0.292,-0.777,0.497,0.292,-0.784,0.767,0.796,-0.212,0.323,0.795,-0.338
11,0.546,0.374,-0.842,0.591,0.293,-0.788,0.498,0.292,-0.794,0.765,0.794,-0.21,0.323,0.794,-0.338
12,0.546,0.375,-0.865,0.592,0.294,-0.808,0.498,0.293,-0.816,0.765,0.795,-0.212,0.323,0.794,-0.351
13,0.546,0.376,-0.852,0.592,0.295,-0.796,0.498,0.293,-0.804,0.765,0.793,-0.21,0.323,0.794,-0.347
14,0.546,0.377,-0.854,0.592,0.295,-0.798,0.498,0.293,-0.807,0.764,0.791,-0.207,0.323,0.794,-0.344
15,0.546,0.377,-0.841,0.592,0.295,-0.788,0.498,0.294,-0.8,0.763,0.791,-0.197,0.323,0.794,-0.342
16,0.546,0.378,-0.768,0.592,0.295,-0.72,0.498,0.294,-0.727,0.763,0.791,-0.195,0.323,0.794,-0.328
17,0.546,0.378,-0.764,0.592,0.295,-0.715,0.498,0.294,-0.722,0.763,0.792,-0.193,0.323,0.794,-0.328
18,0.546,0.377,-0.748,0.592,0.295,-0.698,0.498,0.293,-0.704,0.764,0.792,-0.184,0.323,0.794,-0.321
19,0.547,0.377,-0.745,0.593,0.294,-0.693,0.499,0.292,-0.701,0.764,0.793,-0.169,0.323,0.795,-0.32
20,0.548,0.375,-0.726,0.594,0.292,-0.673,0.5,0.29,-0.681,0.764,0.793,-0.164,0.322,0.795,-0.306
21,0.549,0.372,-0.716,0.594,0.288,-0.663,0.501,0.286,-0.668,0.764,0.794,-0.166,0.322,0.795,-0.298
22,0.549,0.371,-0.716,0.595,0.287,-0.664,0.501,0.285,-0.669,0.764,0.794,-0.167,0.322,0.796,-0.298
23,0.549,0.37,-0.723,0.595,0.286,-0.671,0.502,0.284,-0.677,0.764,0.795,-0.176,0.322,0.796,-0.299
24,0.549,0.37,-0.727,0.596,0.286,-0.675,0.502,0.284,-0.681,0.764,0.796,-0.192,0.322,0.796,-0.3
25,0.549,0.37,-0.738,0.596,0.286,-0.686,0.502,0.284,-0.691,0.764,0.796,-0.193,0.322,0.796,-0.306
26,0.549,0.371,-0.754,0.596,0.286,-0.7,0.502,0.284,-0.705,0.764,0.796,-0.2,0.323,0.796,-0.31
27,0.55,0.371,-0.8,0.596,0.286,-0.743,0.502,0.284,-0.752,0.764,0.796,-0.2,0.323,0.796,-0.337
28,0.55,0.371,-0.804,0.596,0.286,-0.747,0.503,0.284,-0.755,0.764,0.797,-0.199,0.323,0.796,-0.337
29,0.55,0.371,-0.796,0.596,0.286,-0.741,0.503,0.284,-0.748,0.764,0.797,-0.188,0.323,0.796,-0.337
30,0.55,0.371,-0.769,0.596,0.286,-0.715,0.503,0.284,-0.722,0.764,0.797,-0.182,0.323,0.796,-0.322
31,0.551,0.371,-0.77,0.597,0.286,-0.716,0.503,0.284,-0.723,0.765,0.797,-0.187,0.323,0.796,-0.322
32,0.551,0.371,-0.756,0.597,0.286,-0.705,0.504,0.284,-0.711,0.765,0.796,-0.185,0.323,0.795,-0.318
33,0.551,0.371,-0.758,0.598,0.286,-0.706,0.504,0.284,-0.712,0.764,0.796,-0.185,0.324,0.795,-0.314
34,0.552,0.371,-0.745,0.598,0.286,-0.695,0.504,0.284,-0.699,0.764,0.796,-0.191,0.324,0.794,-0.309
